0.png	 9-4=?
1.png	 0+2=?
2.png	 2+5=?
3.png	 0+1=?
4.png	 7x6=?
5.png	 6x5=?
6.png	 0+4=?
7.png	 9+3=?
8.png	 2-4=?
9.png	 0+3=?
10.png	 5+5=?
11.png	 9+5=?
12.png	 9x0=?
13.png	 7x9=?
14.png	 3+4=?
15.png	 0-9=?
16.png	 0x8=?
17.png	 5+3=?
18.png	 1+4=?
19.png	 1-1=?
20.png	 3+1=?
21.png	 9x9=?
22.png	 2-9=?
23.png	 0-2=?
24.png	 0+0=?
25.png	 0-3=?
26.png	 8-2=?
27.png	 8-5=?
28.png	 4x0=?
29.png	 1+4=?
30.png	 1-2=?
31.png	 0+0=?
32.png	 4-1=?
33.png	 0+3=?
34.png	 6+7=?
35.png	 2+7=?
36.png	 9+0=?
37.png	 0x4=?
38.png	 9-0=?
39.png	 9-1=?
40.png	 3x0=?
41.png	 7-9=?
42.png	 2-5=?
43.png	 4-9=?
44.png	 0-3=?
45.png	 8+0=?
46.png	 5-6=?
47.png	 6-4=?
48.png	 3-7=?
49.png	 8-0=?
50.png	 3-8=?
51.png	 5-5=?
52.png	 3x7=?
53.png	 4-0=?
54.png	 5x5=?
55.png	 9-6=?
56.png	 4+6=?
57.png	 1x6=?
58.png	 3+0=?
59.png	 7+9=?
60.png	 9x0=?
61.png	 7-9=?
62.png	 6-8=?
63.png	 7x9=?
64.png	 1+7=?
65.png	 4x3=?
66.png	 2x7=?
67.png	 7x8=?
68.png	 1+9=?
69.png	 7x9=?
70.png	 6x5=?
71.png	 8-7=?
72.png	 6-0=?
73.png	 0+8=?
74.png	 8+8=?
75.png	 3x5=?
76.png	 5+7=?
77.png	 3-9=?
78.png	 2-3=?
79.png	 6+2=?
80.png	 5-7=?
81.png	 2+0=?
82.png	 5+9=?
83.png	 7x8=?
84.png	 0+0=?
85.png	 9-9=?
86.png	 2x4=?
87.png	 7x2=?
88.png	 9x5=?
89.png	 2+4=?
90.png	 5+0=?
91.png	 9-3=?
92.png	 1x9=?
93.png	 3+8=?
94.png	 3x6=?
95.png	 3-4=?
96.png	 3+8=?
97.png	 0+5=?
98.png	 9-4=?
99.png	 5+0=?
100.png	 9-4=?
101.png	 3+6=?
102.png	 7+8=?
103.png	 0+2=?
104.png	 9-3=?
105.png	 5+4=?
106.png	 4-5=?
107.png	 2+2=?
108.png	 0+4=?
109.png	 5x3=?
110.png	 2+9=?
111.png	 4+3=?
112.png	 0+1=?
113.png	 3x1=?
114.png	 7-5=?
115.png	 4-3=?
116.png	 6-7=?
117.png	 1x5=?
118.png	 9-0=?
119.png	 3+2=?
120.png	 5+7=?
121.png	 4-6=?
